q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,impostor_answer_type,judge_choice,judge_raw_output,judge_valid_output,judge_correct,blended_in,caught_by_judge,pair_index,round_num
animal,bird,"['hamster', 'goose']",goose,goose,shared,yes,yes,True,True,True,False,0,0
animal,bird,"['shark', 'bird']",penguin,penguin,shared,yes,yes,True,True,True,False,0,1
animal,bird,"['seagull', 'jaguar']",jaguar,jaguar,invalid,yes,yes,True,False,True,False,0,2
animal,bird,"['cow', 'gerbil']",owl,owl,q2_only,yes,yes,True,False,True,False,0,3
animal,bird,"['rat', 'insect']",crow,crow,q2_only,yes,yes,True,False,True,False,0,4
animal,farm animal,"['goose', 'human']",chicken,chicken,shared,yes,yes,True,True,True,False,1,0
animal,farm animal,"['mouse', 'koala']",pig,pig,shared,yes,yes,True,True,True,False,1,1
animal,farm animal,"['human', 'squirrel']",pig,pig,shared,yes,yes,True,True,True,False,1,2
animal,farm animal,"['gerbil', 'badger']",pig,pig,shared,yes,yes,True,True,True,False,1,3
animal,farm animal,"['seagull', 'panda']",chicken,chicken,shared,yes,yes,True,True,True,False,1,4
animal,meat,"['zebra', 'leopard']",pork,pork,q2_only,no,no,True,True,False,True,2,0
animal,meat,"['ferret', 'camel']",pork,pork,q2_only,no,no,True,True,False,True,2,1
animal,meat,"['leopard', 'gorilla']",bacon,bacon,q2_only,no,no,True,True,False,True,2,2
animal,meat,"['rabbit', 'goat']",turkey,turkey,q2_only,no,no,True,True,False,True,2,3
animal,meat,"['gazelle', 'lizard']",salmon,salmon,q2_only,yes,yes,True,False,True,False,2,4
animal,water bird,"['bat', 'lemur']",loon,loon,invalid,yes,yes,True,False,True,False,3,0
animal,water bird,"['cat', 'swan']",heron,heron,q2_only,yes,yes,True,False,True,False,3,1
animal,water bird,"['deer', 'camel']",loon,loon,invalid,yes,yes,True,False,True,False,3,2
animal,water bird,"['goat', 'wolf']",penguin,penguin,shared,yes,yes,True,True,True,False,3,3
animal,water bird,"['shark', 'panda']",penguin,penguin,shared,yes,yes,True,True,True,False,3,4
bathroom fixture,living room furniture,"['mirror', 'radiator']",sofa,sofa,q2_only,no,no,True,True,False,True,4,0
bathroom fixture,living room furniture,"['bath', 'blind']",sofa,sofa,q2_only,no,no,True,True,False,True,4,1
bathroom fixture,living room furniture,"['window', 'bath']",sofa,sofa,q2_only,no,no,True,True,False,True,4,2
bathroom fixture,living room furniture,"['sink', 'cabinet']",sofa,sofa,q2_only,no,no,True,True,False,True,4,3
bathroom fixture,living room furniture,"['mirror', 'door']",sofa,sofa,q2_only,no,no,True,True,False,True,4,4
bird,bird of prey,"['finch', 'penguin']",hawk,hawk,shared,yes,yes,True,True,True,False,5,0
bird,bird of prey,"['crow', 'hummingbird']",eagle,eagle,shared,yes,yes,True,True,True,False,5,1
bird,bird of prey,"['blue tit', 'swallow']",eagle,eagle,shared,yes,yes,True,True,True,False,5,2
bird,bird of prey,"['blackbird', 'sparrow']",eagle,eagle,shared,yes,yes,True,True,True,False,5,3
bird,bird of prey,"['flamingo', 'bluebird']",eagle,eagle,shared,yes,yes,True,True,True,False,5,4
bird,farm animal,"['parrot', 'vulture']",duck,duck,shared,yes,yes,True,True,True,False,6,0
bird,farm animal,"['dove', 'great tit']",chicken,chicken,shared,no,no,True,False,False,True,6,1
bird,farm animal,"['penguin', 'jackdaw']",chicken,chicken,shared,no,no,True,False,False,True,6,2
bird,farm animal,"['owl', 'parrot']",duck,duck,shared,yes,yes,True,True,True,False,6,3
bird,farm animal,"['owl', 'chicken']",chicken,chicken,shared,no,no,True,False,False,True,6,4
bird,meat,"['eagle', 'chicken']",turkey,turkey,shared,no,no,True,False,False,True,7,0
bird,meat,"['parrot', 'vulture']",turkey,turkey,shared,no,no,True,False,False,True,7,1
bird,meat,"['duck', 'sparrow']",turkey,turkey,shared,no,no,True,False,False,True,7,2
bird,meat,"['swallow', 'gannet']",pork,pork,q2_only,no,no,True,True,False,True,7,3
bird,meat,"['jackdaw', 'bluebird']",turkey,turkey,shared,no,no,True,False,False,True,7,4
bird,water bird,"['seagull', 'gannet']",loon,loon,invalid,yes,yes,True,False,True,False,8,0
bird,water bird,"['raven', 'stork']",heron,heron,q2_only,yes,yes,True,False,True,False,8,1
bird,water bird,"['swan', 'swallow']",heron,heron,q2_only,yes,yes,True,False,True,False,8,2
bird,water bird,"['hummingbird', 'great tit']",swan,swan,shared,yes,yes,True,True,True,False,8,3
bird,water bird,"['gannet', 'wagtail']",loon,loon,invalid,yes,yes,True,False,True,False,8,4
body of water,natural landform,"['puddle', 'lake']",hill,hill,q2_only,no,no,True,True,False,True,9,0
body of water,natural landform,"['canal', 'pool']",peak,peak,invalid,no,no,True,True,False,True,9,1
body of water,natural landform,"['puddle', 'ocean']",peak,peak,invalid,no,no,True,True,False,True,9,2
body of water,natural landform,"['canal', 'river']",hill,hill,q2_only,no,no,True,True,False,True,9,3
body of water,natural landform,"['puddle', 'pacific ocean']",mountain,mountain,q2_only,no,no,True,True,False,True,9,4
building,human dwelling,"['synagogue', 'cathedral']",house,house,shared,yes,yes,True,True,True,False,10,0
building,human dwelling,"['restaurant', 'synagogue']",house,house,shared,yes,yes,True,True,True,False,10,1
building,human dwelling,"['mansion', 'flats']",house,house,shared,yes,yes,True,True,True,False,10,2
building,human dwelling,"['bungalow', 'museum']",house,house,shared,yes,yes,True,True,True,False,10,3
building,human dwelling,"['castle', 'dentist']",house,house,shared,yes,yes,True,True,True,False,10,4
building,religious building,"['bus station', 'chalet']",mosque,mosque,shared,yes,yes,True,True,True,False,11,0
building,religious building,"['post office', 'mosque']",church,church,shared,yes,yes,True,True,True,False,11,1
building,religious building,"['train station', ""doctor's""]",mosque,mosque,shared,yes,yes,True,True,True,False,11,2
building,religious building,"['castle', 'hospital']",church,church,shared,yes,yes,True,True,True,False,11,3
building,religious building,"['skyscraper', 'apartment block']",mosque,mosque,shared,yes,yes,True,True,True,False,11,4
building material,carpenter's tool,"['metal', 'concrete']",hammer,hammer,shared,no,no,True,False,False,True,12,0
building material,carpenter's tool,"['plastic', 'metal']",hammer,hammer,shared,no,no,True,False,False,True,12,1
building material,carpenter's tool,"['stone', 'hammer']",saw,saw,q2_only,no,no,True,True,False,True,12,2
building material,carpenter's tool,"['glass', 'metal']",hammer,hammer,shared,no,no,True,False,False,True,12,3
building material,carpenter's tool,"['bricks', 'mortar']",hammer,hammer,shared,no,no,True,False,False,True,12,4
building material,part of a building,"['metal', 'blocks']",wall,wall,q2_only,no,no,True,True,False,True,13,0
building material,part of a building,"['blocks', 'bamboo']",arch,arch,invalid,no,no,True,True,False,True,13,1
building material,part of a building,"['steel', 'glass']",brick,brick,invalid,yes,yes,True,False,True,False,13,2
building material,part of a building,"['wood', 'tiles']",stone,stone,invalid,yes,yes,True,False,True,False,13,3
building material,part of a building,"['blocks', 'concrete']",wall,wall,q2_only,no,no,True,True,False,True,13,4
building material,tool,"['timber', 'plaster']",hammer,hammer,shared,no,no,True,False,False,True,14,0
building material,tool,"['stone', 'insulation']",stone,stone,invalid,yes,yes,True,False,True,False,14,1
building material,tool,"['nails', 'bamboo']",nails,nails,shared,no,no,True,False,False,True,14,2
building material,tool,"['bamboo', 'metal']",hammer,hammer,shared,no,no,True,False,False,True,14,3
building material,tool,"['plaster', 'metal']",pliers,pliers,q2_only,no,no,True,True,False,True,14,4
carpenter's tool,gardening tool,"['saw', 'wood']",pruning shears,pruning shears,invalid,no,no,True,True,False,True,15,0
carpenter's tool,gardening tool,"['hammer', 'chisel']",pruner,pruner,invalid,no,no,True,True,False,True,15,1
carpenter's tool,gardening tool,"['spirit level', 'knife']",pruning shears,pruning shears,invalid,no,no,True,True,False,True,15,2
carpenter's tool,gardening tool,"['wood', 'drill']",pruning shears,pruning shears,invalid,no,no,True,True,False,True,15,3
carpenter's tool,gardening tool,"['nails', 'screwdriver']",pruning shear,pruning shear,invalid,no,no,True,True,False,True,15,4
