q1,q2,generated_impostor_answer,generated_impostor_raw,impostor_answer_type,judge_choice,judge_raw_output,judge_valid_output,judge_correct,impostor_success,pair_index,round_num
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,0
animal,bird,crow,crow,q2_only,yes,yes,True,False,True,0,1
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,2
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,3
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,4
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,5
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,6
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,7
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,8
animal,bird,owl,owl,q2_only,yes,yes,True,False,True,0,9
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,0
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,1
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,2
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,3
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,4
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,5
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,6
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,7
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,8
animal,farm animal,pig,pig,shared,yes,yes,True,True,True,1,9
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,0
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,1
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,2
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,3
animal,meat,pork,pork,q2_only,no,no,True,True,False,2,4
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,5
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,6
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,7
animal,meat,bacon,bacon,q2_only,no,no,True,True,False,2,8
animal,meat,lamb,lamb,q2_only,yes,yes,True,False,True,2,9
