q1,q2,rounds,blended_in_rate,caught_rate,judge_consistency
amphibian,swamp animal,5,0.0,1.0,1.0
animal,bird,5,1.0,0.0,0.4
animal,farm animal,5,1.0,0.0,1.0
animal,meat,5,0.2,0.8,0.8
animal,water bird,5,1.0,0.0,0.4
bathroom fixture,living room furniture,5,0.0,1.0,1.0
bathroom item,cleaning supply,5,0.6,0.4,0.4
beach item,summer clothing,5,0.6,0.4,0.6
bird,bird of prey,5,1.0,0.0,1.0
bird,farm animal,5,0.4,0.6,0.4
bird,meat,5,0.0,1.0,0.2
bird,water bird,5,1.0,0.0,0.2
bird of prey,scavenger,5,1.0,0.0,0.0
board game,strategy game,5,0.2,0.8,1.0
body of water,natural landform,5,0.0,1.0,1.0
brass instrument,jazz instrument,5,1.0,0.0,1.0
breakfast food,baked good,5,0.8,0.2,0.8
building,human dwelling,5,1.0,0.0,1.0
building,religious building,5,1.0,0.0,1.0
building material,carpenter's tool,5,0.0,1.0,0.2
building material,natural resource,5,0.2,0.8,0.8
building material,part of a building,5,0.4,0.6,0.6
building material,tool,5,0.2,0.8,0.2
camping gear,rain gear,5,0.8,0.2,0.0
carnivore,african animal,5,0.8,0.2,1.0
carpenter's tool,gardening tool,5,0.0,1.0,1.0
carpenter's tool,tool,5,1.0,0.0,1.0
carpenter's tool,weapon,5,0.2,0.8,0.4
chemical element,metal,5,0.6,0.4,1.0
citrus fruit,tropical fruit,5,0.0,1.0,1.0
clothing brand,luxury brand,5,1.0,0.0,1.0
colour,hair colour,5,1.0,0.0,0.0
colour,metal,5,0.0,1.0,1.0
comic book hero,avenger,5,0.4,0.6,0.8
computer peripheral,office supply,5,0.0,1.0,1.0
condiment,sandwich ingredient,5,0.2,0.8,1.0
country in asia,island nation,5,0.0,1.0,0.6
deciduous tree,fruit tree,5,0.0,1.0,0.0
dietary supplement,mineral,5,0.0,1.0,1.0
dog breed,working dog,5,1.0,0.0,0.0
european capital,coastal city,5,0.0,1.0,1.0
european country,nato member,5,1.0,0.0,0.0
farm animal,four-legged animal,5,0.0,1.0,0.0
farm animal,meat,5,0.6,0.4,0.8
fast food chain,pizza place,5,0.2,0.8,0.6
flightless bird,antarctic animal,5,0.4,0.6,1.0
flower,wedding item,5,0.0,1.0,1.0
flying insect,stinging insect,5,0.0,1.0,0.0
folk instrument,woodwind instrument,5,0.8,0.2,0.2
footwear,winter clothing,5,0.0,1.0,1.0
footwear brand,sports brand,5,1.0,0.0,1.0
four-legged animal,meat,5,0.0,1.0,1.0
four-legged animal,rodent,5,0.0,1.0,0.0
four-wheeled vehicle,vehicle,5,0.4,0.6,0.8
french food,cheese,5,0.8,0.2,0.8
freshwater fish,game fish,5,0.6,0.4,0.8
furniture,living room furniture,5,0.4,0.6,1.0
furniture,wood object,5,0.8,0.2,0.4
gardening tool,tool,5,0.2,0.8,0.8
gemstone,color,5,0.2,0.8,0.8
german brand,car brand,5,0.6,0.4,1.0
green fruit,salad ingredient,5,0.0,1.0,0.4
green vegetable,vegetable,5,0.4,0.6,0.6
gym equipment,home workout equipment,5,0.8,0.2,0.4
hand tool,gardening tool,5,0.6,0.4,0.4
heavy machinery,farm equipment,5,0.6,0.4,0.6
herb,spice,5,0.8,0.2,0.0
herbivore,farm animal,5,0.0,1.0,1.0
hobby,outdoor activity,5,1.0,0.0,0.8
hospital staff,medical profession,5,1.0,0.0,0.6
hot drink,caffeinated drink,5,1.0,0.0,0.6
houseplant,succulent,5,1.0,0.0,0.8
insect,stinging insect,5,0.6,0.4,0.8
kitchen appliance,kitchen utensil,5,0.6,0.4,0.6
kitchen appliance,smart home device,5,0.0,1.0,1.0
livestock,pack animal,5,1.0,0.0,0.0
martial art,olympic sport,5,0.6,0.4,1.0
metal,chemical element,5,1.0,0.0,0.4
musical instrument,string instrument,5,1.0,0.0,0.8
mythological creature,movie monster,5,0.2,0.8,0.0
mythological hero,constellation,5,0.8,0.2,0.2
nut,baking ingredient,5,0.0,1.0,1.0
ocean animal,aquarium pet,5,0.8,0.2,0.2
part of a building,room in a house,5,1.0,0.0,0.2
part of the body,part of the face,5,1.0,0.0,0.6
party game,card game,5,0.4,0.6,0.6
pasta shape,italian food,5,0.2,0.8,0.8
percussion instrument,marching band instrument,5,0.2,0.8,1.0
pizza topping,dairy product,5,0.4,0.6,1.0
precious metal,jewelry material,5,0.6,0.4,1.0
programming language,web technology,5,0.8,0.2,1.0
red fruit,berry,5,1.0,0.0,1.0
reptile,pet,5,0.0,1.0,1.0
rodent,house pest,5,1.0,0.0,0.6
root vegetable,soup ingredient,5,0.2,0.8,0.8
salty snack,movie theater food,5,1.0,0.0,1.0
school subject,craft,5,0.0,1.0,0.2
school supply,art supply,5,0.0,1.0,1.0
social media platform,messaging app,5,0.0,1.0,0.2
software application,google product,5,1.0,0.0,1.0
soup,noodle dish,5,0.4,0.6,0.4
spanish speaking country,south american country,5,1.0,0.0,0.2
string instrument,orchestra instrument,5,0.6,0.4,0.8
sweet treat,halloween item,5,0.0,1.0,1.0
tech giant,streaming service,5,0.0,1.0,1.0
tool,weapon,5,0.0,1.0,1.0
transport with wheels,public transport,5,1.0,0.0,1.0
uniformed profession,medical profession,5,1.0,0.0,1.0
vehicle,military equipment,5,0.4,0.6,1.0
venomous animal,australian animal,5,0.0,1.0,1.0
water sport,extreme sport,5,0.2,0.8,1.0
watercraft,recreational vehicle,5,0.2,0.8,0.8
weapon,hunting gear,5,1.0,0.0,1.0
wild cat,jungle animal,5,1.0,0.0,1.0
winter sport,olympic sport,5,0.8,0.2,0.4
yellow food,dessert,5,0.0,1.0,1.0
