q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,judge_choice,judge_raw_output,judge_valid_output,blended_in,caught,pair_index,round_num
animal,bird,"['snake', 'wolf']",owl,owl,yes,yes,True,True,False,0,0
animal,bird,"['gerbil', 'mouse']",sparrow,sparrow,yes,yes,True,True,False,0,1
animal,bird,"['jaguar', 'bat']",owl,owl,yes,yes,True,True,False,0,2
animal,bird,"['ant', 'shark']",spider,spider,yes,yes,True,True,False,0,3
animal,bird,"['kangaroo', 'pig']",emu,emu,yes,yes,True,True,False,0,4
animal,farm animal,"['chimpanzee', 'insect']",pig,pig,yes,yes,True,True,False,1,0
animal,farm animal,"['cheetah', 'squirrel']",pig,pig,yes,yes,True,True,False,1,1
animal,farm animal,"['zebra', 'gerbil']",pig,pig,yes,yes,True,True,False,1,2
animal,farm animal,"['wolf', 'squirrel']",pig,pig,yes,yes,True,True,False,1,3
animal,farm animal,"['goose', 'eagle']",duck,duck,yes,yes,True,True,False,1,4
animal,meat,"['goose', 'rabbit']",duck,duck,yes,yes,True,True,False,2,0
animal,meat,"['camel', 'bat']",venison,venison,no,no,True,False,True,2,1
animal,meat,"['jaguar', 'sloth']",bacon,bacon,no,no,True,False,True,2,2
animal,meat,"['penguin', 'dog']",duck,duck,yes,yes,True,True,False,2,3
animal,meat,"['monkey', 'wolf']",bacon,bacon,no,no,True,False,True,2,4
animal,water bird,"['polar bear', 'bird']",penguin,penguin,yes,yes,True,True,False,3,0
animal,water bird,"['polar bear', 'hamster']",swan,swan,yes,yes,True,True,False,3,1
animal,water bird,"['deer', 'polar bear']",duck,duck,yes,yes,True,True,False,3,2
animal,water bird,"['donkey', 'leopard']",swan,swan,yes,yes,True,True,False,3,3
animal,water bird,"['ape', 'mouse']",duck,duck,yes,yes,True,True,False,3,4
bathroom fixture,living room furniture,"['towel rail', 'shower']",shelf,shelf,no,no,True,False,True,4,0
bathroom fixture,living room furniture,"['towel rail', 'sink']",shelf,shelf,no,no,True,False,True,4,1
bathroom fixture,living room furniture,"['sink', 'light']",bookshelf,bookshelf,no,no,True,False,True,4,2
bathroom fixture,living room furniture,"['sink', 'radiator']",sofa,sofa,no,no,True,False,True,4,3
bathroom fixture,living room furniture,"['mirror', 'window']",sofa,sofa,no,no,True,False,True,4,4
bird,bird of prey,"['jackdaw', 'goldfinch']",vulture,vulture,yes,yes,True,True,False,5,0
bird,bird of prey,"['stork', 'goldfinch']",eagle,eagle,yes,yes,True,True,False,5,1
bird,bird of prey,"['parrot', 'hawk']",falcon,falcon,yes,yes,True,True,False,5,2
bird,bird of prey,"['flamingo', 'bluebird']",osprey,osprey,yes,yes,True,True,False,5,3
bird,bird of prey,"['ostrich', 'blue tit']",vulture,vulture,yes,yes,True,True,False,5,4
bird,farm animal,"['ostrich', 'bluebird']",chicken,chicken,no,no,True,False,True,6,0
bird,farm animal,"['starling', 'hawk']",pig,pig,no,no,True,False,True,6,1
bird,farm animal,"['swan', 'magpie']",pig,pig,no,no,True,False,True,6,2
