q1,q2,q1_example_answers,generated_impostor_answer,generated_impostor_raw,impostor_answer_type,judge_choice,judge_raw_output,judge_valid_output,judge_correct,blended_in,caught,pair_index,round_num
animal,bird,"['snake', 'wolf']",snake,snake,invalid,yes,yes,True,False,True,False,0,0
animal,bird,"['gerbil', 'mouse']",rat,rat,invalid,yes,yes,True,False,True,False,0,1
animal,bird,"['jaguar', 'bat']",bird,bird,invalid,yes,yes,True,False,True,False,0,2
animal,bird,"['ant', 'shark']",bird,bird,invalid,yes,yes,True,False,True,False,0,3
animal,bird,"['kangaroo', 'pig']",kangaroo,kangaroo,invalid,yes,yes,True,False,True,False,0,4
animal,farm animal,"['chimpanzee', 'insect']",pig,pig,shared,yes,yes,True,True,True,False,1,0
animal,farm animal,"['cheetah', 'squirrel']",rabbit,rabbit,shared,yes,yes,True,True,True,False,1,1
animal,farm animal,"['zebra', 'gerbil']",horse,horse,shared,yes,yes,True,True,True,False,1,2
animal,farm animal,"['wolf', 'squirrel']",rabbit,rabbit,shared,yes,yes,True,True,True,False,1,3
animal,farm animal,"['goose', 'eagle']",duck,duck,shared,yes,yes,True,True,True,False,1,4
animal,meat,"['goose', 'rabbit']",duck,duck,shared,yes,yes,True,True,True,False,2,0
animal,meat,"['camel', 'bat']",rabbit,rabbit,shared,yes,yes,True,True,True,False,2,1
animal,meat,"['jaguar', 'sloth']",lion,lion,invalid,yes,yes,True,False,True,False,2,2
animal,meat,"['penguin', 'dog']",chicken,chicken,shared,no,no,True,False,False,True,2,3
animal,meat,"['monkey', 'wolf']",chicken,chicken,shared,no,no,True,False,False,True,2,4
animal,water bird,"['polar bear', 'bird']",duck,duck,shared,yes,yes,True,True,True,False,3,0
animal,water bird,"['polar bear', 'hamster']",penguin,penguin,shared,yes,yes,True,True,True,False,3,1
animal,water bird,"['deer', 'polar bear']",duck,duck,shared,yes,yes,True,True,True,False,3,2
animal,water bird,"['donkey', 'leopard']",duck,duck,shared,yes,yes,True,True,True,False,3,3
animal,water bird,"['ape', 'mouse']",duck,duck,shared,yes,yes,True,True,True,False,3,4
bathroom fixture,living room furniture,"['towel rail', 'shower']",shelf,shelf,invalid,no,no,True,True,False,True,4,0
