q1,q2,rounds,blended_in_rate,caught_rate,judge_consistency
amphibian,swamp animal,10,0.4,0.6,0.9
animal,bird,10,1.0,0.0,0.0
animal,farm animal,10,1.0,0.0,1.0
animal,meat,10,0.8,0.2,0.2
animal,water bird,10,1.0,0.0,0.0
bathroom fixture,living room furniture,10,0.0,1.0,1.0
bathroom item,cleaning supply,10,0.0,1.0,1.0
beach item,summer clothing,10,0.0,1.0,1.0
bird,bird of prey,10,1.0,0.0,1.0
bird,farm animal,10,0.0,1.0,1.0
bird,meat,10,0.0,1.0,1.0
bird,water bird,10,1.0,0.0,0.0
bird of prey,scavenger,10,0.0,1.0,1.0
board game,strategy game,10,1.0,0.0,1.0
body of water,natural landform,10,0.0,1.0,1.0
brass instrument,jazz instrument,10,1.0,0.0,1.0
breakfast food,baked good,10,0.1,0.9,0.9
building,human dwelling,10,1.0,0.0,1.0
building,religious building,10,1.0,0.0,1.0
building material,carpenter's tool,10,0.0,1.0,0.0
building material,natural resource,10,0.0,1.0,1.0
building material,part of a building,10,0.0,1.0,1.0
building material,tool,10,0.0,1.0,0.0
camping gear,rain gear,10,1.0,0.0,0.0
carnivore,african animal,10,1.0,0.0,1.0
carpenter's tool,gardening tool,10,0.0,1.0,1.0
carpenter's tool,tool,10,1.0,0.0,1.0
carpenter's tool,weapon,10,0.0,1.0,0.9
chemical element,metal,10,0.6,0.4,1.0
citrus fruit,tropical fruit,10,0.0,1.0,1.0
clothing brand,luxury brand,10,1.0,0.0,1.0
colour,hair colour,10,1.0,0.0,0.0
colour,metal,10,0.0,1.0,1.0
comic book hero,avenger,10,0.0,1.0,1.0
computer peripheral,office supply,10,0.0,1.0,1.0
condiment,sandwich ingredient,10,0.2,0.8,1.0
country in asia,island nation,10,0.8,0.2,1.0
deciduous tree,fruit tree,10,0.0,1.0,0.0
dietary supplement,mineral,10,0.0,1.0,1.0
dog breed,working dog,10,0.4,0.6,0.6
european capital,coastal city,10,0.0,1.0,1.0
european country,nato member,10,1.0,0.0,0.0
farm animal,four-legged animal,10,0.0,1.0,0.0
farm animal,meat,10,0.5,0.5,1.0
fast food chain,pizza place,10,0.0,1.0,0.9
flightless bird,antarctic animal,10,1.0,0.0,0.0
flower,wedding item,10,0.0,1.0,1.0
flying insect,stinging insect,10,0.0,1.0,0.0
folk instrument,woodwind instrument,10,0.9,0.1,0.1
footwear,winter clothing,10,0.0,1.0,1.0
footwear brand,sports brand,10,1.0,0.0,1.0
four-legged animal,meat,10,0.0,1.0,1.0
four-legged animal,rodent,10,0.0,1.0,0.0
four-wheeled vehicle,vehicle,10,1.0,0.0,1.0
